OrderID,CustomerID,EmployeeID,ProductID,TransactionID,Order_Date,Transaction_Time,Order_Status,PaymentMethod,ProductName,Product_Brand,Product_Description,Transaction_Amount,Product_UnitPrice,Product_quantity,Product_Total_Amount,ProductCategory
OR0972,CID1634,EID1014,PD0017,TR0113,2023/12/1,2022/2/5,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,91.28,6,547.68,Bird Care; Pet Accessories
OR0951,CID1639,EID1004,PD0017,TR0098,2024/7/23,2023/4/15,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,3.53,1,3.53,Bird Care; Pet Accessories
OR0951,CID1432,EID1004,PD0017,TR0323,2024/7/23,2022/1/14,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,61.29,1,61.29,Bird Care; Pet Accessories
OR0951,CID1654,EID1004,PD0017,TR1483,2024/7/23,2023/3/21,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,81,1,81,Bird Care; Pet Accessories
OR0679,CID1784,EID1014,PD0017,TR0589,2024/1/17,2023/2/28,Canceled,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,51.57,6,309.42,Bird Care; Pet Accessories
OR0102,CID1242,EID1000,PD0017,TR1788,2023/5/21,2023/10/30,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,78.31,1,78.31,Bird Care; Pet Accessories
OR1971,CID1707,EID1002,PD0017,TR1421,2023/6/22,2022/2/24,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,51.31,3,153.93,Bird Care; Pet Accessories
OR1922,CID1812,EID1014,PD0017,TR0066,2023/6/4,2022/8/9,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,58.57,4,234.28,Bird Care; Pet Accessories
OR1922,CID1861,EID1014,PD0017,TR1424,2023/6/4,2022/12/14,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,35.06,4,140.24,Bird Care; Pet Accessories
OR0628,CID1236,EID1033,PD0017,TR0510,2024/7/3,2023/10/14,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,22.27,10,222.7,Bird Care; Pet Accessories
OR1213,CID1420,EID1014,PD0017,TR1376,2024/8/2,2022/3/21,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,83.24,10,832.4,Bird Care; Pet Accessories
OR1484,CID1658,EID1017,PD0017,TR1532,2023/2/22,2023/4/19,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,4.23,2,8.46,Bird Care; Pet Accessories
OR1086,CID1126,EID1044,PD0017,TR0089,2023/6/23,2023/4/7,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,72.9,5,364.5,Bird Care; Pet Accessories
OR1086,CID1088,EID1044,PD0017,TR0500,2023/6/23,2022/7/4,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,38.73,5,193.65,Bird Care; Pet Accessories
OR1093,CID1378,EID1047,PD0017,TR0568,2023/5/21,2022/4/8,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,99.78,9,898.02,Bird Care; Pet Accessories
OR1093,CID1437,EID1047,PD0017,TR1585,2023/5/21,2022/6/19,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,8.77,9,78.93,Bird Care; Pet Accessories
OR1129,CID1612,EID1000,PD0017,TR0617,2024/7/7,2022/1/18,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,8.65,10,86.5,Bird Care; Pet Accessories
OR1129,CID1465,EID1000,PD0017,TR0890,2024/7/7,2022/8/14,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,93.62,10,936.2,Bird Care; Pet Accessories
OR2000,CID1065,EID1043,PD0017,TR0310,2023/4/7,2023/7/5,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,23.23,2,46.46,Bird Care; Pet Accessories
OR2000,CID1856,EID1043,PD0017,TR1070,2023/4/7,2022/4/7,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,50.85,2,101.7,Bird Care; Pet Accessories
OR2000,CID1638,EID1043,PD0017,TR1845,2023/4/7,2022/10/17,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,57.87,2,115.74,Bird Care; Pet Accessories
OR1431,CID1864,EID1046,PD0017,TR1693,2023/12/22,2022/2/13,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,55.28,4,221.12,Bird Care; Pet Accessories
OR1382,CID1846,EID1033,PD0017,TR0359,2023/5/23,2023/1/22,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,42.39,8,339.12,Bird Care; Pet Accessories
OR0204,CID1032,EID1007,PD0017,TR1162,2024/8/17,2022/10/19,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,73.57,2,147.14,Bird Care; Pet Accessories
OR0742,CID1407,EID1012,PD0017,TR0092,2024/1/3,2023/9/19,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,84.91,9,764.19,Bird Care; Pet Accessories
OR1164,CID1458,EID1032,PD0017,TR0728,2023/9/6,2023/8/23,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,53.25,6,319.5,Bird Care; Pet Accessories
OR1164,CID1726,EID1032,PD0017,TR1313,2023/9/6,2023/7/25,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,6.09,6,36.54,Bird Care; Pet Accessories
OR0501,CID1840,EID1034,PD0017,TR1290,2023/11/28,2023/12/14,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,47.76,6,286.56,Bird Care; Pet Accessories
OR1520,CID1507,EID1019,PD0017,TR1274,2023/10/3,2023/12/26,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,52.92,3,158.76,Bird Care; Pet Accessories
OR1144,CID1586,EID1028,PD0017,TR0284,2024/7/6,2023/9/11,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,44.66,6,267.96,Bird Care; Pet Accessories
OR1144,CID1575,EID1028,PD0017,TR1774,2024/7/6,2022/3/10,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,62.64,27.65,6,165.9,Bird Care; Pet Accessories
OR1052,CID1741,EID1041,PD0017,TR0954,2024/9/21,2023/10/17,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,83.76,9,753.84,Bird Care; Pet Accessories
OR0137,CID1387,EID1034,PD0017,TR0780,2024/5/9,2023/2/11,Canceled,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,30.01,10,300.1,Bird Care; Pet Accessories
OR1027,CID1749,EID1000,PD0017,TR0413,2024/10/4,2022/5/25,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,25.16,3,75.48,Bird Care; Pet Accessories
OR0132,CID1229,EID1032,PD0017,TR1459,2023/10/15,2023/10/17,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,25.06,7,175.42,Bird Care; Pet Accessories
OR0651,CID1416,EID1011,PD0017,TR0655,2024/4/11,2023/1/14,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,77,8,616,Bird Care; Pet Accessories
OR1689,CID1462,EID1006,PD0017,TR1691,2024/4/5,2023/7/8,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,36.83,8,294.64,Bird Care; Pet Accessories
OR1021,CID1273,EID1043,PD0017,TR1167,2024/1/26,2023/9/8,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,46.13,9,415.17,Bird Care; Pet Accessories
OR1205,CID1346,EID1049,PD0017,TR1321,2023/11/10,2022/2/6,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,75.07,3,225.21,Bird Care; Pet Accessories
OR1312,CID1753,EID1029,PD0017,TR0758,2023/2/8,2023/1/17,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,12.43,6,74.58,Bird Care; Pet Accessories
OR1849,CID1524,EID1037,PD0017,TR1942,2024/8/7,2022/3/1,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,24.86,4,99.44,Bird Care; Pet Accessories
OR0926,CID1263,EID1042,PD0017,TR0425,2024/10/17,2023/10/22,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,73.55,2,147.1,Bird Care; Pet Accessories
OR0496,CID1327,EID1035,PD0017,TR0996,2024/7/16,2023/7/25,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,88.14,1,88.14,Bird Care; Pet Accessories
OR1196,CID1080,EID1000,PD0017,TR0308,2023/1/17,2022/11/13,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,36.83,10,368.3,Bird Care; Pet Accessories
OR1196,CID1489,EID1000,PD0017,TR1275,2023/1/17,2023/8/5,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,35.85,10,358.5,Bird Care; Pet Accessories
OR0276,CID1498,EID1028,PD0017,TR1160,2024/8/8,2022/5/25,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,51.06,8,408.48,Bird Care; Pet Accessories
OR0276,CID1635,EID1028,PD0017,TR1231,2024/8/8,2023/3/7,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,91.55,8,732.4,Bird Care; Pet Accessories
OR0822,CID1080,EID1028,PD0017,TR1789,2024/2/8,2023/4/17,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,65.68,8,525.44,Bird Care; Pet Accessories
OR1527,CID1632,EID1006,PD0017,TR0782,2023/12/17,2023/1/5,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,60.92,5,304.6,Bird Care; Pet Accessories
OR0903,CID1285,EID1013,PD0017,TR0551,2024/1/10,2022/12/14,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,45.45,5,227.25,Bird Care; Pet Accessories
OR1583,CID1775,EID1024,PD0017,TR0054,2023/1/1,2022/5/30,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,42.47,1,42.47,Bird Care; Pet Accessories
OR1194,CID1756,EID1023,PD0017,TR1853,2024/11/2,2023/11/29,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,57.36,2,114.72,Bird Care; Pet Accessories
OR0484,CID1812,EID1041,PD0017,TR1472,2023/10/16,2022/1/18,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,82.85,1,82.85,Bird Care; Pet Accessories
OR0484,CID1834,EID1041,PD0017,TR1535,2023/10/16,2022/7/3,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,13.4,1,13.4,Bird Care; Pet Accessories
OR0484,CID1268,EID1041,PD0017,TR1568,2023/10/16,2022/4/24,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,54.22,1,54.22,Bird Care; Pet Accessories
OR1230,CID1379,EID1046,PD0017,TR1066,2024/3/14,2023/6/3,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,77.87,7,545.09,Bird Care; Pet Accessories
OR1230,CID1595,EID1046,PD0017,TR1792,2024/3/14,2023/4/3,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,41.35,7,289.45,Bird Care; Pet Accessories
OR1466,CID1148,EID1010,PD0017,TR1007,2024/10/28,2023/8/4,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,62.64,58.89,1,58.89,Bird Care; Pet Accessories
OR1466,CID1199,EID1010,PD0017,TR1233,2024/10/28,2022/4/18,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,14.68,1,14.68,Bird Care; Pet Accessories
OR1466,CID1088,EID1010,PD0017,TR1604,2024/10/28,2022/3/18,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,26.77,1,26.77,Bird Care; Pet Accessories
OR0774,CID1466,EID1022,PD0017,TR1258,2023/6/8,2023/12/26,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,29.4,4,117.6,Bird Care; Pet Accessories
OR0774,CID1510,EID1022,PD0017,TR1324,2023/6/8,2022/11/2,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,32.07,4,128.28,Bird Care; Pet Accessories
OR1322,CID1690,EID1023,PD0017,TR1609,2024/7/10,2022/10/6,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,9.07,5,45.35,Bird Care; Pet Accessories
OR0853,CID1257,EID1000,PD0017,TR0050,2024/4/30,2022/3/27,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,42.68,4,170.72,Bird Care; Pet Accessories
OR1216,CID1188,EID1047,PD0017,TR0047,2023/11/18,2022/12/29,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,98.34,8,786.72,Bird Care; Pet Accessories
OR1216,CID1853,EID1047,PD0017,TR0497,2023/11/18,2022/11/17,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,58.03,8,464.24,Bird Care; Pet Accessories
OR1216,CID1008,EID1047,PD0017,TR1132,2023/11/18,2023/5/21,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,63.63,8,509.04,Bird Care; Pet Accessories
OR1898,CID1602,EID1014,PD0017,TR1682,2023/10/12,2023/4/16,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,77.49,7,542.43,Bird Care; Pet Accessories
OR1898,CID1680,EID1014,PD0017,TR1948,2023/10/12,2023/12/27,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,90.09,7,630.63,Bird Care; Pet Accessories
OR1651,CID1736,EID1011,PD0017,TR0691,2023/4/19,2022/6/17,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,87.76,7,614.32,Bird Care; Pet Accessories
OR1651,CID1779,EID1011,PD0017,TR1565,2023/4/19,2023/4/29,Canceled,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,2.54,7,17.78,Bird Care; Pet Accessories
OR0320,CID1726,EID1024,PD0017,TR0582,2024/8/11,2023/5/20,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,12.96,6,77.76,Bird Care; Pet Accessories
OR1632,CID1762,EID1044,PD0017,TR0107,2023/8/6,2023/4/18,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,27.07,1,27.07,Bird Care; Pet Accessories
OR1946,CID1054,EID1012,PD0017,TR0290,2023/6/6,2022/2/1,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,55.9,5,279.5,Bird Care; Pet Accessories
OR1946,CID1720,EID1012,PD0017,TR1144,2023/6/6,2023/8/4,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,93.08,5,465.4,Bird Care; Pet Accessories
OR1946,CID1293,EID1012,PD0017,TR1959,2023/6/6,2023/11/22,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,74.54,5,372.7,Bird Care; Pet Accessories
OR1076,CID1353,EID1032,PD0017,TR0709,2024/9/21,2023/7/20,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,62.64,13.51,8,108.08,Bird Care; Pet Accessories
OR1076,CID1667,EID1032,PD0017,TR1549,2024/9/21,2022/3/18,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,4.37,8,34.96,Bird Care; Pet Accessories
OR0194,CID1787,EID1049,PD0025,TR0836,2023/5/24,2023/3/2,Canceled,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,38.64,69.31,5,346.55,General
OR0534,CID1863,EID1002,PD0025,TR0552,2024/1/3,2023/5/7,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,28.98,99,7,693,General
OR0534,CID1178,EID1002,PD0025,TR1749,2024/1/3,2022/2/21,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,77.28,14.11,7,98.77,General
OR0534,CID1573,EID1002,PD0025,TR1912,2024/1/3,2023/3/1,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,86.82,7,607.74,General
OR0534,CID1161,EID1002,PD0025,TR1927,2024/1/3,2022/7/31,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,91.94,7,643.58,General
OR1552,CID1723,EID1012,PD0025,TR0015,2023/10/22,2022/2/21,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,90.52,7,633.64,General
OR1552,CID1070,EID1012,PD0025,TR0946,2023/10/22,2022/2/26,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,36.08,7,252.56,General
OR0536,CID1051,EID1003,PD0025,TR1196,2023/12/17,2023/7/14,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,77.28,40.83,5,204.15,General
OR1255,CID1700,EID1007,PD0025,TR0032,2023/7/7,2023/7/12,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,67.62,56.14,8,449.12,General
OR1255,CID1647,EID1007,PD0025,TR0342,2023/7/7,2022/4/27,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,71.49,8,571.92,General
OR0649,CID1733,EID1006,PD0025,TR0548,2023/12/28,2022/7/21,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,77.28,12.78,6,76.68,General
OR0649,CID1515,EID1006,PD0025,TR1323,2023/12/28,2023/3/23,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,89.85,6,539.1,General
OR0649,CID1730,EID1006,PD0025,TR1590,2023/12/28,2023/12/13,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,28.98,89.94,6,539.64,General
OR1532,CID1399,EID1003,PD0025,TR1937,2024/8/31,2022/1/17,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,28.98,59.56,8,476.48,General
OR0381,CID1651,EID1017,PD0025,TR0733,2023/12/6,2023/9/12,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,62.05,4,248.2,General
OR0898,CID1071,EID1048,PD0025,TR1096,2024/7/5,2022/1/25,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,38.64,99.42,7,695.94,General
OR0333,CID1323,EID1009,PD0025,TR0567,2023/12/8,2022/12/14,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,5.48,8,43.84,General
OR1496,CID1087,EID1045,PD0025,TR0244,2024/10/6,2022/4/2,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,67.62,74.14,5,370.7,General
OR0315,CID1802,EID1035,PD0025,TR0543,2024/1/23,2022/11/18,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,36.14,3,108.42,General
OR1168,CID1434,EID1043,PD0025,TR0998,2024/9/18,2022/11/1,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,96.6,45.44,5,227.2,General
OR0316,CID1742,EID1043,PD0025,TR0754,2023/11/2,2023/4/15,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,9.66,41.48,6,248.88,General
OR0269,CID1886,EID1017,PD0025,TR0901,2023/1/22,2023/6/28,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,45.53,4,182.12,General
OR0231,CID1254,EID1038,PD0025,TR0106,2023/10/20,2023/11/13,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,83.65,5,418.25,General
OR0231,CID1895,EID1038,PD0025,TR0610,2023/10/20,2022/12/31,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,9.66,29.64,5,148.2,General
OR0231,CID1661,EID1038,PD0025,TR1993,2023/10/20,2022/8/2,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,48.23,5,241.15,General
OR0617,CID1181,EID1040,PD0025,TR0081,2024/3/7,2022/5/17,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,14.33,3,42.99,General
OR0617,CID1341,EID1040,PD0025,TR0848,2024/3/7,2023/11/23,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,19.16,3,57.48,General
OR0617,CID1661,EID1040,PD0025,TR1650,2024/3/7,2022/12/28,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,67.62,76.83,3,230.49,General
OR0050,CID1293,EID1021,PD0025,TR0309,2024/5/27,2022/9/15,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,67.62,91.72,5,458.6,General
OR1729,CID1525,EID1032,PD0025,TR0110,2023/4/3,2022/10/19,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,93.73,3,281.19,General
OR1729,CID1046,EID1032,PD0025,TR1119,2023/4/3,2022/6/2,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,77.28,9.3,3,27.9,General
OR1729,CID1408,EID1032,PD0025,TR1373,2023/4/3,2022/12/4,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,96.6,89.66,3,268.98,General
OR1729,CID1573,EID1032,PD0025,TR1452,2023/4/3,2023/12/3,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,59.76,3,179.28,General
OR0445,CID1385,EID1004,PD0025,TR1006,2023/11/30,2023/5/11,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,57.96,37.62,8,300.96,General
OR0657,CID1823,EID1037,PD0025,TR0399,2024/10/13,2022/12/26,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,48.3,65.29,1,65.29,General
OR0657,CID1780,EID1037,PD0025,TR1264,2024/10/13,2023/3/3,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,96.6,38.56,1,38.56,General
OR1934,CID1011,EID1016,PD0025,TR0597,2024/11/26,2023/2/25,Canceled,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,44.42,2,88.84,General
OR0771,CID1147,EID1002,PD0025,TR0033,2023/4/10,2023/12/13,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,86.94,51.36,2,102.72,General
OR0771,CID1254,EID1002,PD0025,TR1215,2023/4/10,2022/2/6,Delivered,Apple Pay,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,9.66,59.22,2,118.44,General
OR1418,CID1228,EID1018,PD0025,TR0056,2023/2/4,2022/7/20,Delivered,Credit Card,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,19.32,94.53,3,283.59,General
OR1418,CID1157,EID1018,PD0025,TR0201,2023/2/4,2022/11/13,Delivered,Bank Transfer,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,77.28,10.59,3,31.77,General
